Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
VNET,"21Vianet Group, Inc.",7.145,426498146.785,59691833,2011,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/vnet
TWOU,"2U, Inc.",64.18,3351629973.74,n/a,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/twou
JOBS,"51job, Inc.",57.5,2115618832.5,36793371,2004,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/jobs
ACIA,"Acacia Communications, Inc.",38.69,1523508897.7,n/a,2016,Technology,Semiconductors,http://www.nasdaq.com/symbol/acia
ACIW,"ACI Worldwide, Inc.",22.88,2713092645.12,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/aciw
ACMR,"ACM Research, Inc.",6.66,100647811.44,n/a,2017,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/acmr
ATVI,"Activision Blizzard, Inc",62.4,47180605992,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/atvi
ACTA,Actua Corporation,15.55,508832542.5,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acta
ACXM,Acxiom Corporation,27.25,2158624418.75,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acxm
IOTS,Adesto Technologies Corporation,8.225,173868110.5,n/a,2015,Technology,Semiconductors,http://www.nasdaq.com/symbol/iots
ADBE,Adobe Systems Incorporated,181.47,89454368750.58,n/a,1986,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/adbe
AMD,"Advanced Micro Devices, Inc.",10.89,10506656786.67,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/amd
AGYS,"Agilysys, Inc.",12.28,284926405.28,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/agys
AIRG,"Airgain, Inc.",9.5316,91300699.1208,n/a,2016,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/airg
AMCN,AirMedia Group Inc,2.11,95325050.39,45177749,2007,Technology,Advertising,http://www.nasdaq.com/symbol/amcn
ALRM,"Alarm.com Holdings, Inc.",41.03,1934171145.39,n/a,2015,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/alrm
ALLT,Allot Communications Ltd.,6,198686280,n/a,2006,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/allt
MDRX,"Allscripts Healthcare Solutions, Inc.",14.315,2586447240.965,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/mdrx
AOSL,Alpha and Omega Semiconductor Limited,17.64,421155899.64,n/a,2010,Technology,Semiconductors,http://www.nasdaq.com/symbol/aosl
GOOG,Alphabet Inc.,1021.41,709677824196.51,n/a,2004,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/goog
GOOGL,Alphabet Inc.,1036.17,719933103354.87,n/a,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/googl
AABA,Altaba Inc.,70.22,61328607934.96,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/aaba
ALTR,Altair Engineering Inc.,22.29,1346114052.6,n/a,2017,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/altr
AMBA,"Ambarella, Inc.",54.21,1800542053.05,n/a,2012,Technology,Semiconductors,http://www.nasdaq.com/symbol/amba
DOX,Amdocs Limited,65.31,9493135050,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/dox
AMRH,"Ameri Holdings, Inc.",2.75,43604684.75,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/amrh
AMRHW,"Ameri Holdings, Inc.",0.49,0,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/amrhw
AMSWA,"American Software, Inc.",12.89,383190362.36,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/amswa
AMKR,"Amkor Technology, Inc.",10.57,2529185414.28,n/a,1998,Technology,Semiconductors,http://www.nasdaq.com/symbol/amkr
ASYS,"Amtech Systems, Inc.",9.82,144655464.18,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/asys
ADI,"Analog Devices, Inc.",86.11,31743227704.68,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/adi
ANSS,"ANSYS, Inc.",148.19,12575473493.87,n/a,1996,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/anss
APPF,"AppFolio, Inc.",43.15,1464816674.6,n/a,2015,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/appf
APPN,Appian Corporation,22.01,1327275104.76,n/a,2017,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/appn
AAPL,Apple Inc.,171.85,882331517200,n/a,1980,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/aapl
AMAT,"Applied Materials, Inc.",52.77,56278527697.05,n/a,1972,Technology,Semiconductors,http://www.nasdaq.com/symbol/amat
AAOI,"Applied Optoelectronics, Inc.",43.69,846807706.34,n/a,2013,Technology,Semiconductors,http://www.nasdaq.com/symbol/aaoi
APTI,"Apptio, Inc.",22.32,901471208.4,n/a,2016,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/apti
ARRS,ARRIS International plc,29.98,5606896505.38,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/arrs
ASML,ASML Holding N.V.,175.565,12443459759.51,70876654,1995,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/asml
AZPN,"Aspen Technology, Inc.",67.01,4860599030.28,n/a,1994,Technology,EDP Services,http://www.nasdaq.com/symbol/azpn
ALOT,"AstroNova, Inc.",14.608,98492482.528,n/a,1983,Technology,Computer peripheral equipment,http://www.nasdaq.com/symbol/alot
ASUR,Asure Software Inc,14.38,179272871.6,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/asur
TEAM,Atlassian Corporation Plc,46.74,10755067643.82,n/a,2015,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/team
ATOM,Atomera Incorporated,3.9,47426484.3,n/a,2016,Technology,Semiconductors,http://www.nasdaq.com/symbol/atom
ATTU,Attunity Ltd.,7.64,131003164.04,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/attu
ADSK,"Autodesk, Inc.",109.7,24045389605.6,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/adsk
ADP,"Automatic Data Processing, Inc.",114.46,50761834495.8,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/adp
AUTO,"AutoWeb, Inc.",8.42,110161495.46,n/a,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/auto
AVNW,"Aviat Networks, Inc.",15.86,84346937.48,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/avnw
AVID,"Avid Technology, Inc.",6.73,277182587.6,n/a,1993,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/avid
AWRE,"Aware, Inc.",4.7506,102672774.8046,n/a,1996,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/awre
ACLS,"Axcelis Technologies, Inc.",32,1005221376,n/a,2000,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/acls
AXTI,AXT Inc,9.7,377246036.8,n/a,1998,Technology,Semiconductors,http://www.nasdaq.com/symbol/axti
BOSC,B.O.S. Better Online Solutions,2.35,7605349.65,n/a,n/a,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/bosc
BIDU,"Baidu, Inc.",238.68,65761127920.8,275520060,2005,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/bidu
BAND,Bandwidth Inc.,21.84,384849628.8,n/a,2017,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/band
BBSI,"Barrett Business Services, Inc.",66.34,484305948.74,n/a,1993,Technology,Professional Services,http://www.nasdaq.com/symbol/bbsi
BV,"Bazaarvoice, Inc.",5.425,466909948.75,n/a,2012,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/bv
BNFT,"Benefitfocus, Inc.",27.1,847504641.4,n/a,2013,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/bnft
BKYI,"BIO-key International, Inc.",1.4386,9348652.9068,n/a,n/a,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/bkyi
BBOX,Black Box Corporation,3.6,54495748.8,n/a,n/a,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/bbox
BLKB,"Blackbaud, Inc.",98.52,4737786899.4,n/a,2004,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/blkb
BL,"BlackLine, Inc.",36.67,1938062378.14,n/a,2016,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/bl
EPAY,"Bottomline Technologies, Inc.",33.35,1350126859.4,n/a,1999,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/epay
BLIN          ,"Bridgeline Digital, Inc.",2.59,10880196.32,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/blin
BCOV,Brightcove Inc.,7.35,254550183.3,n/a,2012,Technology,EDP Services,http://www.nasdaq.com/symbol/bcov
AVGO,Broadcom Limited,277.94,113393781650.76,n/a,2009,Technology,Semiconductors,http://www.nasdaq.com/symbol/avgo
BSFT,"BroadSoft, Inc.",55,1740716230,n/a,2010,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/bsft
BVSN,"BroadVision, Inc.",3.9787,19852953.0683,n/a,1996,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/bvsn
BRKS,"Brooks Automation, Inc.",24.885,1735960180.5,n/a,1995,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/brks
CA,CA Inc.,33.07,13841230039.58,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ca
CCMP,Cabot Microelectronics Corporation,96.39,2444153133.24,n/a,2000,Technology,Semiconductors,http://www.nasdaq.com/symbol/ccmp
CDNS,"Cadence Design Systems, Inc.",43.91,12398427600,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cdns
CAMP,CalAmp Corp.,22.87,814203103.2,n/a,1983,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/camp
CALD,"Callidus Software, Inc.",29.25,1992360825,n/a,2003,Technology,EDP Services,http://www.nasdaq.com/symbol/cald
CSIQ,Canadian Solar Inc.,17.96,1038674807.08,n/a,2006,Technology,Semiconductors,http://www.nasdaq.com/symbol/csiq
CARB,"Carbonite, Inc.",24.05,672131771.35,n/a,2011,Technology,EDP Services,http://www.nasdaq.com/symbol/carb
CARG,"CarGurus, Inc.",29.5,3129677715,n/a,2017,Technology,EDP Services,http://www.nasdaq.com/symbol/carg
CAVM,"Cavium, Inc.",85.53,5914888303.95,n/a,2007,Technology,Semiconductors,http://www.nasdaq.com/symbol/cavm
CRNT,Ceragon Networks Ltd.,1.92,149651648.64,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/crnt
CERN,Cerner Corporation,70.69,23498408998.24,n/a,1986,Technology,EDP Services,http://www.nasdaq.com/symbol/cern
CEVA,"CEVA, Inc.",47.55,1044910061.25,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/ceva
CYOU,Changyou.com Limited,36.48,700968890.88,19215156,2009,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cyou
CHKP,Check Point Software Technologies Ltd.,104.35,17319512537.4,n/a,1996,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/chkp
CNIT,"China Information Technology, Inc.",1.48,59542115.32,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cnit
CCIH,ChinaCache International Holdings Ltd.,0.9893,20728909.7444,20953108,2010,Technology,EDP Services,http://www.nasdaq.com/symbol/ccih
CNET,"ChinaNet Online Holdings, Inc.",1.06,13080974.52,n/a,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/cnet
IMOS,ChipMOS TECHNOLOGIES INC.,18.04,192411176.32,10665808,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/imos
CRUS,"Cirrus Logic, Inc.",55.32,3521953276.68,n/a,1989,Technology,Semiconductors,http://www.nasdaq.com/symbol/crus
CSCO,"Cisco Systems, Inc.",37.3,184397105225.2,n/a,1990,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/csco
CTXS,"Citrix Systems, Inc.",87.63,13203687755.64,n/a,1995,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ctxs
